Host,IP Address_x,Used
dpadesignmidtier,10.237.82.132,14.38
dpadesignrtdm,10.237.82.133,4.27
dpadicompute,10.237.82.134,6.22
dpaanalytics,10.237.82.135,7.35
dpadesignmetadata,10.237.82.136,61.32
dpama,10.237.82.137,7.89
dpamo,10.237.82.138,0.47
dpartdmruntimedeployment,10.237.82.139,19.49
dparuntimemetadata01,10.237.82.140,2.99
dparuntimemetadata02,10.237.82.141,3.02
dparuntimemetadata03,10.237.82.142,0.5
ip-10-237-82-143,10.237.82.143,14.14
ip-10-237-82-144.ap-southeast-1.compute.internal,10.237.82.144,11.13
ip-10-237-82-146.ap-southeast-1.compute.internal,10.237.82.146,5.12
dpaespdistrib,10.237.82.174,1.25
dpadeployment,,9.55
dpaespconn02,,0.2
dpaespconn01,,0.19
dpastgdeployment,10.237.82.225,10.1
dpastgespproc10,10.237.82.227,35.27
ip-10-237-82-238,10.237.82.238,7.12
ip-10-237-82-239,10.237.82.239,12.31
ip-10-237-82-240,10.237.82.240,0.86
dpastgrunmeta03,10.237.82.242,7.05
dpastgrunmeta02,10.237.82.243,3.25
dpastgrunmeta01,10.237.82.244,3.02
dpastgrtdmrundep,10.237.82.245,6.63
dpastgmo,10.237.82.246,0.88
dpastgma,10.237.82.247,0.32
dpastgdesmeta,10.237.82.250,30.11
dpastganlytcs,10.237.82.251,2.39
dpastgdicomp,10.237.82.252,20.24
dpastgdesrtdm,10.237.82.253,10.61
dpastgdesmid,10.237.82.254,25.18
dpastgespconn02,,0.72
dpastgespconn01,,0.66
