Host,IP Address_x,Used
dpadesignmidtier,10.237.82.132,23.3
dpadesignrtdm,10.237.82.133,15.1
dpadicompute,10.237.82.134,1.4
dpaanalytics,10.237.82.135,18.5
dpadesignmetadata,10.237.82.136,10.6
dpama,10.237.82.137,3.2
dpamo,10.237.82.138,1.2
dpartdmruntimedeployment,10.237.82.139,77.2
dparuntimemetadata01,10.237.82.140,11.8
dparuntimemetadata02,10.237.82.141,10.7
dparuntimemetadata03,10.237.82.142,10.6
ip-10-237-82-143,10.237.82.143,3.3
ip-10-237-82-144.ap-southeast-1.compute.internal,10.237.82.144,3.7
ip-10-237-82-146.ap-southeast-1.compute.internal,10.237.82.146,3.5
dpaespdistrib,10.237.82.174,50.5
dpadeployment,,3.9
dpaespconn02,,0.8
dpaespconn01,,0.8
dpastgdeployment,10.237.82.225,5.8
dpastgespproc10,10.237.82.227,30.9
ip-10-237-82-238,10.237.82.238,3.0
ip-10-237-82-239,10.237.82.239,3.0
ip-10-237-82-240,10.237.82.240,2.9
dpastgrunmeta03,10.237.82.242,11.2
dpastgrunmeta02,10.237.82.243,13.1
dpastgrunmeta01,10.237.82.244,10.1
dpastgrtdmrundep,10.237.82.245,45.1
dpastgmo,10.237.82.246,1.3
dpastgma,10.237.82.247,8.7
dpastgdesmeta,10.237.82.250,14.3
dpastganlytcs,10.237.82.251,2.4
dpastgdicomp,10.237.82.252,3.5
dpastgdesrtdm,10.237.82.253,18.2
dpastgdesmid,10.237.82.254,73.8
dpastgespconn02,,1.9
dpastgespconn01,,1.1
