,Host,IP Address_x,Used
3,dpadesignmidtier,10.237.82.132,19.81
6,dpadesignrtdm,10.237.82.133,14.18
28,dpadicompute,10.237.82.134,2.85
33,dpaanalytics,10.237.82.135,1.13
5,dpadesignmetadata,10.237.82.136,15.36
32,dpama,10.237.82.137,2.16
37,dpamo,10.237.82.138,0.31
16,dpartdmruntimedeployment,10.237.82.139,5.13
24,dparuntimemetadata01,10.237.82.140,3.26
11,dparuntimemetadata02,10.237.82.141,10.33
18,dparuntimemetadata03,10.237.82.142,4.51
14,ip-10-237-82-143,10.237.82.143,6.52
13,ip-10-237-82-144.ap-southeast-1.compute.internal,10.237.82.144,8.33
39,ip-10-237-82-145.ap-southeast-1.compute.internal,10.237.82.145,
35,ip-10-237-82-146.ap-southeast-1.compute.internal,10.237.82.146,0.83
22,dpaespprocessors00,10.237.82.155,3.47
27,dpaespprocessors01,10.237.82.156,2.99
15,dpaespprocessors02,10.237.82.157,6.09
20,dpaespprocessors03,10.237.82.158,4.12
31,dpaespprocessors04,10.237.82.159,2.17
25,dpaespprocessors05,10.237.82.161,3.12
29,dpaespprocessors06,10.237.82.161,2.83
19,dpaespprocessors07,10.237.82.162,4.13
17,dpaespprocessors08,10.237.82.163,5.01
26,dpaespprocessors09,10.237.82.164,3.06
36,dpaespkwik01,10.237.82.165,0.69
0,dpaespeventstreammgr,10.237.82.166,62.56
7,dpaespdistrib,10.237.82.174,14.0
34,dpaespkwik02,10.237.82.176,1.07
