Host,Mount,Used
dpaanalytics,/,15.0
dpaanalytics,/appl/depot,1.0
dpaanalytics,/appl/di_shareddata,1.0
dpaanalytics,/appl/sasbackup,1.0
dpaanalytics,/appl/sasdata,1.0
dpaanalytics,/appl/saslogs,1.0
dpaanalytics,/dev,0.0
dpaanalytics,/sas,55.0
dpaanalytics,/work,1.0
dpadesignmetadata,/,37.0
dpadesignmetadata,/appl/config,15.0
dpadesignmetadata,/appl/depot,1.0
dpadesignmetadata,/appl/di_shareddata,1.0
dpadesignmetadata,/appl/sasbackup,1.0
dpadesignmetadata,/appl/sashome,20.0
dpadesignmetadata,/appl/saslogs,1.0
dpadesignmetadata,/dev,0.0
dpadesignmetadata,/work,46.0
dpadesignmidtier,/,24.0
dpadesignmidtier,/appl/config,40.0
dpadesignmidtier,/appl/depot,1.0
dpadesignmidtier,/appl/di_shareddata,1.0
dpadesignmidtier,/appl/sasbackup,1.0
dpadesignmidtier,/appl/sashome,40.0
dpadesignmidtier,/appl/saslogs,1.0
dpadesignmidtier,/dev,0.0
dpadesignmidtier,/work,25.0
dpadesignrtdm,/,14.0
dpadesignrtdm,/appl/depot,1.0
dpadesignrtdm,/appl/di_shareddata,1.0
dpadesignrtdm,/appl/sasbackup,1.0
dpadesignrtdm,/appl/sasconfig,12.0
dpadesignrtdm,/appl/sasdata,1.0
dpadesignrtdm,/appl/sashome,20.0
dpadesignrtdm,/appl/saslogs,1.0
dpadesignrtdm,/dev,0.0
dpadesignrtdm,/work,57.0
dpadicompute,/,37.0
dpadicompute,/appl/depot,1.0
dpadicompute,/appl/di_shareddata,1.0
dpadicompute,/appl/sasbackup,1.0
dpadicompute,/appl/sasdata,1.0
dpadicompute,/appl/saslogs,1.0
dpadicompute,/dev,0.0
dpadicompute,/sas,58.0
dpadicompute,/work,2.0
dpaespdistrib,/,15.0
dpaespdistrib,/appl/di_shareddata,1.0
dpaespdistrib,/appl/sasbackup/esp11,1.0
dpaespdistrib,/dev,0.0
dpaespdistrib,/logs/esp11,17.0
dpaespdistrib,/opt/sas/viya/config,1.0
dpaespdistrib,/opt/sas/viya/data,1.0
dpaespdistrib,/opt/sas/viya/home,1.0
dpaespdistrib,/usr/bin2,1.0
dpamo,/,26.0
dpamo,/appl/depot,1.0
dpamo,/appl/di_shareddata,1.0
dpamo,/appl/sasbackup,1.0
dpamo,/appl/sasconfig,1.0
dpamo,/appl/sasdata,1.0
dpamo,/appl/sashome,20.0
dpamo,/appl/saslogs,1.0
dpamo,/dev,44.0
dpamo,/work,31.0
ip-10-237-82-143,/,40.0
ip-10-237-82-143,/appl/config,9.0
ip-10-237-82-143,/appl/depot,1.0
ip-10-237-82-143,/appl/di_shareddata,1.0
ip-10-237-82-143,/appl/sasbackup,1.0
ip-10-237-82-143,/appl/sashome,4.0
ip-10-237-82-143,/appl/saslogs,1.0
ip-10-237-82-143,/dev,0.0
ip-10-237-82-143,/work,46.0
ip-10-237-82-144.ap-southeast-1.compute.internal,/,40.0
ip-10-237-82-144.ap-southeast-1.compute.internal,/appl/config,7.0
ip-10-237-82-144.ap-southeast-1.compute.internal,/appl/depot,1.0
ip-10-237-82-144.ap-southeast-1.compute.internal,/appl/di_shareddata,1.0
ip-10-237-82-144.ap-southeast-1.compute.internal,/appl/sasbackup,1.0
ip-10-237-82-144.ap-southeast-1.compute.internal,/appl/sashome,4.0
ip-10-237-82-144.ap-southeast-1.compute.internal,/appl/saslogs,1.0
ip-10-237-82-144.ap-southeast-1.compute.internal,/dev,0.0
ip-10-237-82-144.ap-southeast-1.compute.internal,/work,46.0
ip-10-237-82-146.ap-southeast-1.compute.internal,/,40.0
ip-10-237-82-146.ap-southeast-1.compute.internal,/appl/config,6.0
ip-10-237-82-146.ap-southeast-1.compute.internal,/appl/depot,1.0
ip-10-237-82-146.ap-southeast-1.compute.internal,/appl/di_shareddata,1.0
ip-10-237-82-146.ap-southeast-1.compute.internal,/appl/sasbackup,1.0
ip-10-237-82-146.ap-southeast-1.compute.internal,/appl/sashome,4.0
ip-10-237-82-146.ap-southeast-1.compute.internal,/appl/saslogs,1.0
ip-10-237-82-146.ap-southeast-1.compute.internal,/dev,0.0
ip-10-237-82-146.ap-southeast-1.compute.internal,/work,46.0
