,Host,IP Address_x,Used
12,dpadesignmidtier,10.237.82.132,35.9
15,dpadesignrtdm,10.237.82.133,18.1
37,dpadicompute,10.237.82.134,1.9
36,dpaanalytics,10.237.82.135,2.0
16,dpadesignmetadata,10.237.82.136,16.9
35,dpama,10.237.82.137,3.8
38,dpamo,10.237.82.138,1.2
0,dpartdmruntimedeployment,10.237.82.139,75.4
24,dparuntimemetadata01,10.237.82.140,10.6
25,dparuntimemetadata02,10.237.82.141,9.3
23,dparuntimemetadata03,10.237.82.142,10.8
27,ip-10-237-82-143,10.237.82.143,7.6
28,ip-10-237-82-144.ap-southeast-1.compute.internal,10.237.82.144,7.5
39,ip-10-237-82-145.ap-southeast-1.compute.internal,10.237.82.145,
26,ip-10-237-82-146.ap-southeast-1.compute.internal,10.237.82.146,7.6
7,dpaespprocessors00,10.237.82.155,47.2
6,dpaespprocessors01,10.237.82.156,47.2
5,dpaespprocessors02,10.237.82.157,47.3
10,dpaespprocessors03,10.237.82.158,47.0
4,dpaespprocessors04,10.237.82.159,47.3
9,dpaespprocessors05,10.237.82.160,47.0
3,dpaespprocessors06,10.237.82.161,47.9
11,dpaespprocessors07,10.237.82.162,45.8
1,dpaespprocessors08,10.237.82.163,54.7
8,dpaespprocessors09,10.237.82.164,47.0
30,dpaespkwik01,10.237.82.165,6.0
13,dpaespeventstreammgr,10.237.82.166,28.2
2,dpaespdistrib,10.237.82.174,49.5
29,dpaespkwik02,10.237.82.176,6.3
