,Host,IP Address_x,Used
0,dpastgespkwik02,10.237.82.215,81.5
1,dpastgespkwik01,10.237.82.216,75.6
23,dpastgdeployment,10.237.82.225,6.1
5,dpastgespesm,10.237.82.226,30.2
4,dpastgespproc10,10.237.82.227,31.8
38,dpastgespproc09,10.237.82.228,2.1
37,dpastgespproc08,10.237.82.229,2.2
29,dpastgespproc07,10.237.82.230,2.6
39,dpastgespproc06,10.237.82.231,2.1
33,dpastgespproc05,10.237.82.232,2.3
30,dpastgespproc04,10.237.82.233,2.5
34,dpastgespproc03,10.237.82.234,2.3
31,dpastgespproc02,10.237.82.235,2.4
35,dpastgespproc01,10.237.82.236,2.3
32,dpastgespproc00,10.237.82.237,2.4
21,ip-10-237-82-238,10.237.82.238,7.9
22,ip-10-237-82-239,10.237.82.239,7.4
20,ip-10-237-82-240,10.237.82.240,8.0
17,ip-10-237-82-241.ap-southeast-1.compute.internal,10.237.82.241,9.2
13,dpastgrunmeta03,10.237.82.242,10.6
12,dpastgrunmeta02,10.237.82.243,11.4
15,dpastgrunmeta01,10.237.82.244,10.0
2,dpastgrtdmrundep,10.237.82.245,48.4
40,dpastgmo,10.237.82.246,1.4
18,dpastgma,10.237.82.247,9.2
10,dpastgdesmeta,10.237.82.250,15.4
36,dpastganlytcs,10.237.82.251,2.3
28,dpastgdicomp,10.237.82.252,3.1
7,dpastgdesrtdm,10.237.82.253,25.2
3,dpastgdesmid,10.237.82.254,33.8
