Environment,Host,Mount,,
PROD2,dpaanalytics,/,,
PROD2,dpaanalytics,/appl/depot,,
PROD2,dpaanalytics,/appl/di_shareddata,,
PROD2,dpaanalytics,/appl/sasbackup,,
PROD2,dpaanalytics,/appl/sasdata,,
PROD2,dpaanalytics,/appl/saslogs,,
PROD2,dpaanalytics,/dev,,
PROD2,dpaanalytics,/sas,,
PROD2,dpaanalytics,/work,,
PROD2,dpadesignmetadata,/,,
PROD2,dpadesignmetadata,/appl/config,,
PROD2,dpadesignmetadata,/appl/depot,,
PROD2,dpadesignmetadata,/appl/di_shareddata,,
PROD2,dpadesignmetadata,/appl/sasbackup,,
PROD2,dpadesignmetadata,/appl/sashome,,
PROD2,dpadesignmetadata,/appl/saslogs,,
PROD2,dpadesignmetadata,/dev,,
PROD2,dpadesignmetadata,/work,,
PROD2,dpadesignmidtier,/,,
PROD2,dpadesignmidtier,/appl/config,,
PROD2,dpadesignmidtier,/appl/depot,,
PROD2,dpadesignmidtier,/appl/di_shareddata,,
PROD2,dpadesignmidtier,/appl/sasbackup,,
PROD2,dpadesignmidtier,/appl/sashome,,
PROD2,dpadesignmidtier,/appl/saslogs,,
PROD2,dpadesignmidtier,/dev,,
PROD2,dpadesignmidtier,/work,,
PROD2,dpadesignrtdm,/,,
PROD2,dpadesignrtdm,/appl/depot,,
PROD2,dpadesignrtdm,/appl/di_shareddata,,
PROD2,dpadesignrtdm,/appl/sasbackup,,
PROD2,dpadesignrtdm,/appl/sasconfig,,
PROD2,dpadesignrtdm,/appl/sasdata,,
PROD2,dpadesignrtdm,/appl/sashome,,
PROD2,dpadesignrtdm,/appl/saslogs,,
PROD2,dpadesignrtdm,/dev,,
PROD2,dpadesignrtdm,/work,,
PROD2,dpadicompute,/,,
PROD2,dpadicompute,/appl/depot,,
PROD2,dpadicompute,/appl/di_shareddata,,
PROD2,dpadicompute,/appl/sasbackup,,
PROD2,dpadicompute,/appl/sasdata,,
PROD2,dpadicompute,/appl/saslogs,,
PROD2,dpadicompute,/dev,,
PROD2,dpadicompute,/sas,,
PROD2,dpadicompute,/work,,
PROD2,dpaespdistrib,/,,
PROD2,dpaespdistrib,/appl/di_shareddata,,
PROD2,dpaespdistrib,/appl/sasbackup/esp11,,
PROD2,dpaespdistrib,/dev,,
PROD2,dpaespdistrib,/logs/esp11,,
PROD2,dpaespdistrib,/opt/sas/viya/config,,
PROD2,dpaespdistrib,/opt/sas/viya/data,,
PROD2,dpaespdistrib,/opt/sas/viya/home,,
PROD2,dpaespdistrib,/usr/bin2,,
PROD2,dpaespeventstreammgr,/,,
PROD2,dpaespeventstreammgr,/appl/di_shareddata,,
PROD2,dpaespeventstreammgr,/appl/repo,,
PROD2,dpaespeventstreammgr,/appl/sasbackup,,
PROD2,dpaespeventstreammgr,/appl/saslogs,,
PROD2,dpaespeventstreammgr,/dev,,
PROD2,dpaespeventstreammgr,/opt/sas/viya/config,,
PROD2,dpaespeventstreammgr,/opt/sas/viya/home,,
PROD2,dpaespkwik01,/,,
PROD2,dpaespkwik01,/appl/di_shareddata,,
PROD2,dpaespkwik01,/appl/sasbackup,,
PROD2,dpaespkwik01,/dev,,
PROD2,dpaespkwik01,/logs,,
PROD2,dpaespkwik01,/opt/sas/viya/config,,
PROD2,dpaespkwik01,/opt/sas/viya/data,,
PROD2,dpaespkwik01,/opt/sas/viya/home,,
PROD2,dpaespkwik01,/usr/bin,,
PROD2,dpaespkwik02,/,,
PROD2,dpaespkwik02,/appl/di_shareddata,,
PROD2,dpaespkwik02,/appl/sasbackup,,
PROD2,dpaespkwik02,/dev,,
PROD2,dpaespkwik02,/logs,,
PROD2,dpaespkwik02,/opt/sas/viya/config,,
PROD2,dpaespkwik02,/opt/sas/viya/data,,
PROD2,dpaespkwik02,/opt/sas/viya/home,,
PROD2,dpaespkwik02,/python,,
PROD2,dpamo,/,,
PROD2,dpamo,/appl/depot,,
PROD2,dpamo,/appl/di_shareddata,,
PROD2,dpamo,/appl/sasbackup,,
PROD2,dpamo,/appl/sasconfig,,
PROD2,dpamo,/appl/sasdata,,
PROD2,dpamo,/appl/sashome,,
PROD2,dpamo,/appl/saslogs,,
PROD2,dpamo,/dev,,
PROD2,dpamo,/work,,
PROD2,ip-10-237-82-143,/,,
PROD2,ip-10-237-82-143,/appl/config,,
PROD2,ip-10-237-82-143,/appl/depot,,
PROD2,ip-10-237-82-143,/appl/di_shareddata,,
PROD2,ip-10-237-82-143,/appl/sasbackup,,
PROD2,ip-10-237-82-143,/appl/sashome,,
PROD2,ip-10-237-82-143,/appl/saslogs,,
PROD2,ip-10-237-82-143,/dev,,
PROD2,ip-10-237-82-143,/work,,
PROD2,ip-10-237-82-144.ap-southeast-1.compute.internal,/,,
PROD2,ip-10-237-82-144.ap-southeast-1.compute.internal,/appl/config,,
PROD2,ip-10-237-82-144.ap-southeast-1.compute.internal,/appl/depot,,
PROD2,ip-10-237-82-144.ap-southeast-1.compute.internal,/appl/di_shareddata,,
PROD2,ip-10-237-82-144.ap-southeast-1.compute.internal,/appl/sasbackup,,
PROD2,ip-10-237-82-144.ap-southeast-1.compute.internal,/appl/sashome,,
PROD2,ip-10-237-82-144.ap-southeast-1.compute.internal,/appl/saslogs,,
PROD2,ip-10-237-82-144.ap-southeast-1.compute.internal,/dev,,
PROD2,ip-10-237-82-144.ap-southeast-1.compute.internal,/work,,
PROD2,ip-10-237-82-145.ap-southeast-1.compute.internal,/,,
PROD2,ip-10-237-82-145.ap-southeast-1.compute.internal,/appl/config,,
