Host,"IP Address",Mount,Used,Status
dpaespconn02,"10.237.82.179","/data",67,Normal
dpaespconn01,"10.237.82.178","/data",67,Normal
dpartdmruntimedeployment,"10.237.82.139","/appl/config",64,Normal
dpadicompute,"10.237.82.134","/sas",58,Normal
dpadesignrtdm,"10.237.82.133","/work",57,Normal
dpaanalytics,"10.237.82.135","/sas",55,Normal
dpartdmruntimedeployment,"10.237.82.139","/",54,Normal
dparuntimemetadata03,"10.237.82.142","/",48,Normal
dparuntimemetadata02,"10.237.82.141","/",48,Normal
dpama,"10.237.82.137","/",47,Normal
"ip-10-237-82-146.ap-southeast-1.compute.internal","10.237.82.146","/work",46,Normal
"ip-10-237-82-144.ap-southeast-1.compute.internal","10.237.82.144","/work",46,Normal
"ip-10-237-82-143","10.237.82.143","/work",46,Normal
dpadesignmetadata,"10.237.82.136","/work",46,Normal
dpamo,"10.237.82.138","/dev",44,Normal
dparuntimemetadata01,"10.237.82.140","/",42,Normal
"ip-10-237-82-146.ap-southeast-1.compute.internal","10.237.82.146","/",40,Normal
"ip-10-237-82-144.ap-southeast-1.compute.internal","10.237.82.144","/",40,Normal
"ip-10-237-82-143","10.237.82.143","/",40,Normal
dpadesignmidtier,"10.237.82.132","/appl/config",40,Normal
dpadesignmidtier,"10.237.82.132","/appl/sashome",40,Normal
dpadicompute,"10.237.82.134","/",37,Normal
dpadesignmetadata,"10.237.82.136","/",37,Normal
dpamo,"10.237.82.138","/work",31,Normal
dpartdmruntimedeployment,"10.237.82.139","/work",30,Normal
dpamo,"10.237.82.138","/",26,Normal
dpadesignmidtier,"10.237.82.132","/work",25,Normal
dpadesignmidtier,"10.237.82.132","/",24,Normal
dpadeployment,"10.237.82.167","/",23,Normal
dpamo,"10.237.82.138","/appl/sashome",20,Normal
dpama,"10.237.82.137","/appl/sashome",20,Normal
dpadesignrtdm,"10.237.82.133","/appl/sashome",20,Normal
dpadesignmetadata,"10.237.82.136","/appl/sashome",20,Normal
dpaespconn02,"10.237.82.179","/",19,Normal
dpaespconn01,"10.237.82.178","/",19,Normal
dpartdmruntimedeployment,"10.237.82.139","/appl/sashome",18,Normal
dpaespdistrib,"10.237.82.174","/logs/esp11",17,Normal
dpaespdistrib,"10.237.82.174","/",15,Normal
dpadesignmetadata,"10.237.82.136","/appl/config",15,Normal
dpaanalytics,"10.237.82.135","/",15,Normal
dpadesignrtdm,"10.237.82.133","/",14,Normal
dpadesignrtdm,"10.237.82.133","/appl/sasconfig",12,Normal
"ip-10-237-82-143","10.237.82.143","/appl/config",9,Normal
"ip-10-237-82-144.ap-southeast-1.compute.internal","10.237.82.144","/appl/config",7,Normal
"ip-10-237-82-146.ap-southeast-1.compute.internal","10.237.82.146","/appl/config",6,Normal
dparuntimemetadata03,"10.237.82.142","/appl/sashome",5,Normal
dparuntimemetadata02,"10.237.82.141","/appl/sashome",5,Normal
dparuntimemetadata01,"10.237.82.140","/appl/sashome",5,Normal
"ip-10-237-82-146.ap-southeast-1.compute.internal","10.237.82.146","/appl/sashome",4,Normal
"ip-10-237-82-144.ap-southeast-1.compute.internal","10.237.82.144","/appl/sashome",4,Normal
"ip-10-237-82-143","10.237.82.143","/appl/sashome",4,Normal
dpadicompute,"10.237.82.134","/work",2,Normal
"ip-10-237-82-146.ap-southeast-1.compute.internal","10.237.82.146","/appl/depot",1,Normal
"ip-10-237-82-146.ap-southeast-1.compute.internal","10.237.82.146","/appl/di_shareddata",1,Normal
"ip-10-237-82-146.ap-southeast-1.compute.internal","10.237.82.146","/appl/sasbackup",1,Normal
"ip-10-237-82-146.ap-southeast-1.compute.internal","10.237.82.146","/appl/saslogs",1,Normal
"ip-10-237-82-144.ap-southeast-1.compute.internal","10.237.82.144","/appl/depot",1,Normal
"ip-10-237-82-144.ap-southeast-1.compute.internal","10.237.82.144","/appl/di_shareddata",1,Normal
"ip-10-237-82-144.ap-southeast-1.compute.internal","10.237.82.144","/appl/sasbackup",1,Normal
"ip-10-237-82-144.ap-southeast-1.compute.internal","10.237.82.144","/appl/saslogs",1,Normal
"ip-10-237-82-143","10.237.82.143","/appl/depot",1,Normal
"ip-10-237-82-143","10.237.82.143","/appl/di_shareddata",1,Normal
"ip-10-237-82-143","10.237.82.143","/appl/sasbackup",1,Normal
"ip-10-237-82-143","10.237.82.143","/appl/saslogs",1,Normal
dparuntimemetadata03,"10.237.82.142","/appl/config",1,Normal
dparuntimemetadata03,"10.237.82.142","/appl/depot",1,Normal
dparuntimemetadata03,"10.237.82.142","/appl/di_shareddata",1,Normal
dparuntimemetadata03,"10.237.82.142","/appl/sasbackup",1,Normal
dparuntimemetadata03,"10.237.82.142","/appl/saslogs",1,Normal
dparuntimemetadata03,"10.237.82.142","/work",1,Normal
dparuntimemetadata02,"10.237.82.141","/appl/config",1,Normal
dparuntimemetadata02,"10.237.82.141","/appl/depot",1,Normal
dparuntimemetadata02,"10.237.82.141","/appl/di_shareddata",1,Normal
dparuntimemetadata02,"10.237.82.141","/appl/sasbackup",1,Normal
dparuntimemetadata02,"10.237.82.141","/appl/saslogs",1,Normal
dparuntimemetadata02,"10.237.82.141","/work",1,Normal
dparuntimemetadata01,"10.237.82.140","/appl/config",1,Normal
dparuntimemetadata01,"10.237.82.140","/appl/depot",1,Normal
dparuntimemetadata01,"10.237.82.140","/appl/di_shareddata",1,Normal
dparuntimemetadata01,"10.237.82.140","/appl/sasbackup",1,Normal
dparuntimemetadata01,"10.237.82.140","/appl/saslogs",1,Normal
dparuntimemetadata01,"10.237.82.140","/work",1,Normal
dpartdmruntimedeployment,"10.237.82.139","/appl/depot",1,Normal
dpartdmruntimedeployment,"10.237.82.139","/appl/di_shareddata",1,Normal
dpartdmruntimedeployment,"10.237.82.139","/appl/sasbackup",1,Normal
dpartdmruntimedeployment,"10.237.82.139","/appl/saslogs",1,Normal
dpamo,"10.237.82.138","/appl/depot",1,Normal
dpamo,"10.237.82.138","/appl/di_shareddata",1,Normal
dpamo,"10.237.82.138","/appl/sasbackup",1,Normal
