Host,"IP Address",Used,Status
dpastgespproc10,"10.237.82.227","35.27",Normal
dpastgdesmeta,"10.237.82.250","30.11",Normal
dpastgdesmid,"10.237.82.254","25.18",Normal
dpastgdicomp,"10.237.82.252","20.24",Normal
"ip-10-237-82-239","10.237.82.239","12.31",Normal
dpastgdesrtdm,"10.237.82.253","10.61",Normal
dpastgdeployment,"10.237.82.225","10.10",Normal
"ip-10-237-82-238","10.237.82.238","7.12",Normal
dpastgrunmeta03,"10.237.82.242","7.05",Normal
dpastgrtdmrundep,"10.237.82.245","6.63",Normal
dpastgrunmeta02,"10.237.82.243","3.25",Normal
dpastgrunmeta01,"10.237.82.244","3.02",Normal
dpastganlytcs,"10.237.82.251","2.39",Normal
dpastgmo,"10.237.82.246","0.88",Normal
"ip-10-237-82-240","10.237.82.240","0.86",Normal
dpastgespconn02,"10.237.82.214","0.72",Normal
dpastgespconn01,"10.237.82.217","0.66",Normal
dpastgma,"10.237.82.247","0.32",Normal
"ip-10-237-82-241","10.237.82.241",,"NO DATA"
"dpastgespproc20.globetel.com","10.237.82.208",,"NO DATA"
"dpastgespproc19.globetel.com","10.237.82.207",,"NO DATA"
"dpastgespproc18.globetel.com","10.237.82.206",,"NO DATA"
"dpastgespproc17.globetel.com","10.237.82.205",,"NO DATA"
"dpastgespproc13.globetel.com","10.237.82.201",,"NO DATA"
"dpastgespproc12.globetel.com","10.237.82.149",,"NO DATA"
dpastgespproc09,"10.237.82.228",,"NO DATA"
dpastgespproc08,"10.237.82.229",,"NO DATA"
dpastgespproc07,"10.237.82.230",,"NO DATA"
dpastgespproc06,"10.237.82.231",,"NO DATA"
dpastgespproc05,"10.237.82.232",,"NO DATA"
dpastgespproc04,"10.237.82.233",,"NO DATA"
dpastgespproc03,"10.237.82.234",,"NO DATA"
dpastgespproc02,"10.237.82.235",,"NO DATA"
dpastgespproc01,"10.237.82.236",,"NO DATA"
dpastgespproc00,"10.237.82.237",,"NO DATA"
dpastgespkwik02,"10.237.82.215",,"NO DATA"
dpastgespkwik01,"10.237.82.216",,"NO DATA"
dpastgespesm,"10.237.82.226",,"NO DATA"
