Host,"IP Address",Used,Status
dpastgdesmid,"10.237.82.254","73.8",Normal
dpastgrtdmrundep,"10.237.82.245","45.1",Normal
dpastgespproc10,"10.237.82.227","30.9",Normal
dpastgdesrtdm,"10.237.82.253","18.2",Normal
dpastgdesmeta,"10.237.82.250","14.3",Normal
dpastgrunmeta02,"10.237.82.243","13.1",Normal
dpastgrunmeta03,"10.237.82.242","11.2",Normal
dpastgrunmeta01,"10.237.82.244","10.1",Normal
dpastgma,"10.237.82.247","8.7",Normal
dpastgdeployment,"10.237.82.225","5.8",Normal
dpastgdicomp,"10.237.82.252","3.5",Normal
"ip-10-237-82-239","10.237.82.239","3.0",Normal
"ip-10-237-82-238","10.237.82.238","3.0",Normal
"ip-10-237-82-240","10.237.82.240","2.9",Normal
dpastganlytcs,"10.237.82.251","2.4",Normal
dpastgespconn02,"10.237.82.214","1.9",Normal
dpastgmo,"10.237.82.246","1.3",Normal
dpastgespconn01,"10.237.82.217","1.1",Normal
"ip-10-237-82-241","10.237.82.241",,"NO DATA"
"dpastgespproc20.globetel.com","10.237.82.208",,"NO DATA"
"dpastgespproc19.globetel.com","10.237.82.207",,"NO DATA"
"dpastgespproc18.globetel.com","10.237.82.206",,"NO DATA"
"dpastgespproc17.globetel.com","10.237.82.205",,"NO DATA"
"dpastgespproc13.globetel.com","10.237.82.201",,"NO DATA"
"dpastgespproc12.globetel.com","10.237.82.149",,"NO DATA"
dpastgespproc09,"10.237.82.228",,"NO DATA"
dpastgespproc08,"10.237.82.229",,"NO DATA"
dpastgespproc07,"10.237.82.230",,"NO DATA"
dpastgespproc06,"10.237.82.231",,"NO DATA"
dpastgespproc05,"10.237.82.232",,"NO DATA"
dpastgespproc04,"10.237.82.233",,"NO DATA"
dpastgespproc03,"10.237.82.234",,"NO DATA"
dpastgespproc02,"10.237.82.235",,"NO DATA"
dpastgespproc01,"10.237.82.236",,"NO DATA"
dpastgespproc00,"10.237.82.237",,"NO DATA"
dpastgespkwik02,"10.237.82.215",,"NO DATA"
dpastgespkwik01,"10.237.82.216",,"NO DATA"
dpastgespesm,"10.237.82.226",,"NO DATA"
